median CPU/replay: A 191.9 ms, B 223.0 ms (delta +31.1 ms); samples A 1114, B 1150
component                                           A share  B share    A ms    B ms   B-A ms   ±1SE
whole replay                                          99.8%    99.8%   191.5   222.6    +31.1    0.4
request build (build_request)                         40.3%    37.2%    77.3    83.0     +5.7    4.2
battle engine (FullBattleDriver::feed)                19.7%    16.8%    37.7    37.4     -0.3    3.4
per-side log fold (emit_log_batch_chunk)              17.4%    15.6%    33.4    34.7     +1.3    3.2
per-side fold (derive_side)                            5.0%     4.4%     9.6     9.9     +0.2    1.8
chunk push (push_chunk_lines)                         12.6%    18.8%    24.1    41.9    +17.8    3.2
  one-sided view (SideObservation::observe)            7.9%    15.2%    15.2    33.9    +18.8    2.8
typed Line: ProtocolBuilder::emit (build+render)       0.0%     3.3%     0.0     7.4     +7.4    1.2
typed Line: core_events::line (any)                    0.0%     2.9%     0.0     6.4     +6.4    1.1
typed Line: Line::render                               0.0%     1.7%     0.0     3.7     +3.7    0.8
retro-edit re-parse (retro_edit / Line::parse)         0.0%     0.0%     0.0     0.0     +0.0    0.0
stdout frame write (flush_new_chunks)                 15.7%    16.0%    30.1    35.7     +5.5    3.2
