arm	team_sha	archetype	pace_score	style_tags
R5F08	750d056194	offense	5.8	boom
R5F08	a9831a5f5e	stall	-1.8	spikes,spin,phaze,trap,wish,choice
R5F09	c9a2cef359	offense	4.7	trap,status_heavy,boom,setup_heavy
R5F09	3a83154c2a	balance	1.5	rain,spin,phaze,wish,choice
R5F10	6ebe9ebc4d	stall	-1.3	spikes,spin,spinblock,phaze,trap,wish,choice
R5F10	9b454d9ea7	semi_stall	-0.4	sand,spikes,spin,phaze,wish
R5F11	422a4745c5	balance	2.2	sand,spikes,spinblock,phaze,status_heavy,wish
R5F11	8b81c129de	hyper_offense	7.4	sand,boom,setup_heavy
R5F12	009e3d0244	offense	6.4	sand,status_heavy,boom
R5F12	b904dbe059	balance	4.3	sand,spikes,spin,wish,setup_heavy
R5F13	9ba039ba8a	offense	4.8	sand,phaze,boom,setup_heavy
R5F13	63f81c5c58	balance	3.7	trap,status_heavy,boom
R5F14	aea50f207e	stall	-1.8	sand,spikes,phaze,status_heavy
R5F14	37d717a93a	offense	5.5	spin
R5F15	4239fc5ba2	hyper_offense	6.6	spikes,spin,boom,choice
R5F15	713403f9e9	semi_stall	1.3	sand,spikes,spin,phaze,trap,status_heavy,choice
R5F16	7d0337af97	offense	6.3	sand,setup_heavy
R5F16	6a634b6281	hyper_offense	8.1	sand,setup_heavy
R5F17	fda8ad353a	hyper_offense	7.5	sand,spin,boom
R5F17	a5d6b3f271	hyper_offense	7.1	sand,setup_heavy
R5F18	af923978cf	stall	-1.9	sand,spikes,spinblock,phaze,status_heavy,wish
R5F18	9c44a67be3	offense	5.1	trap,status_heavy,boom,choice
R5F19	a6252f809d	semi_stall	0.7	sand,spikes,spin,spinblock,phaze,status_heavy,wish,boom
R5F19	46d3021c99	balance	3.9	sand,spin,wish
R5F00	8bdb5796b9	balance	4.0	sand,wish,choice
R5F00	436335607f	balance	2.2	sand,spikes,spin,spinblock,phaze,wish
R5F01	11fb5d2fc2	offense	4.7	trap,status_heavy,boom,setup_heavy
R5F01	c6b830a3f0	semi_stall	1.4	trap,status_heavy,wish,choice
R5F02	6916e13879	stall	-2.3	sand,spikes,spin,phaze,trap,status_heavy,wish
R5F02	e702a104eb	semi_stall	0.4	sand,spikes,spin,spinblock,phaze,status_heavy
R5F03	ac17a9dde5	hyper_offense	7.7	sand,setup_heavy
R5F03	d1ed25a242	semi_stall	0.1	spikes,spin,phaze,wish,boom
R5F04	64a691c473	offense	6.2	boom
R5F04	e28069562f	semi_stall	-0.0	sand,spikes,phaze,trap,status_heavy,choice
R5F05	4bb434f8ba	hyper_offense	6.5	spin,trap,status_heavy,choice
R5F05	3650f09b2f	semi_stall	-0.1	sand,spikes,spin,spinblock,phaze,status_heavy
R5F06	9e95fb59d7	offense	5.9	spin
R5F06	9d8391d864	semi_stall	-0.0	sand,spikes,spin,phaze,wish
R5F07	a185b2d193	offense	6.2	sand,trap,setup_heavy
R5F07	dbbfac7bd5	offense	4.7	rain,phaze,trap,boom,choice
